side,rank,re_neff,im_neff,tm_fraction,guided
1,0,1.8898484,4.7323e-06,0.5781,1
1,1,1.2383554,2.3735e-06,0.1929,0
1,2,1.0586840,1.1612e-06,0.4283,0
1,3,1.0258306,1.3560e-06,0.2889,0
1,4,0.8040286,7.8209e-07,0.6694,0
1,5,0.2639447,3.0152e-06,0.0041,0
1,6,-0.0128929,2.0714e-01,0.2009,0
1,7,0.0128988,2.0715e-01,0.2009,0
1,8,0.0000010,6.9883e-01,0.0420,0
1,9,-0.0000000,9.2578e-01,0.6467,0
1,10,0.0000028,9.9758e-01,0.2141,0
1,11,0.0000033,1.0913e+00,0.3542,0
1,12,-0.0000008,1.1650e+00,0.3482,0
1,13,0.0953270,1.2732e+00,0.4035,0
1,14,-0.0953244,1.2732e+00,0.4035,0
1,15,0.0000006,1.3309e+00,0.0939,0
1,16,0.0000003,1.6930e+00,0.2050,0
1,17,0.0454460,1.7391e+00,0.2239,0
1,18,-0.0454440,1.7391e+00,0.2239,0
1,19,0.0000003,1.7402e+00,0.2475,0
1,20,0.0000004,1.8539e+00,0.2273,0
1,21,0.0078253,1.9643e+00,0.2492,0
1,22,-0.0078247,1.9643e+00,0.2492,0
1,23,0.0000004,2.1083e+00,0.2656,0
1,24,0.0000006,2.1233e+00,0.3540,0
1,25,0.0027315,2.2452e+00,0.1899,0
1,26,-0.0027315,2.2452e+00,0.1899,0
1,27,-0.0079768,2.3142e+00,0.2787,0
1,28,0.0079770,2.3142e+00,0.2787,0
1,29,-0.0000000,2.4225e+00,0.3248,0
1,30,0.0000007,2.4911e+00,0.4436,0
1,31,-0.0000001,2.5125e+00,0.3064,0
1,32,0.0000003,2.5761e+00,0.3457,0
1,33,0.0000005,2.7127e+00,0.1415,0
1,34,0.0000002,2.7226e+00,0.2443,0
1,35,0.0000005,2.7326e+00,0.1683,0
1,36,-0.0000002,2.8030e+00,0.2721,0
1,37,0.0000003,2.8267e+00,0.2722,0
1,38,-0.0000000,2.8953e+00,0.0430,0
1,39,-0.2354035,2.9102e+00,0.1242,0
1,40,0.2354048,2.9102e+00,0.1242,0
1,41,-0.0115424,2.9471e+00,0.3292,0
1,42,0.0115424,2.9471e+00,0.3292,0
1,43,0.0355467,3.0721e+00,0.1237,0
1,44,-0.0355468,3.0721e+00,0.1237,0
1,45,0.0000001,3.1226e+00,0.1247,0
1,46,0.0000003,3.1610e+00,0.1255,0
1,47,-0.0026267,3.2227e+00,0.2712,0
1,48,0.0026266,3.2227e+00,0.2712,0
1,49,-0.0281426,3.3918e+00,0.2262,0
1,50,0.0281428,3.3918e+00,0.2262,0
1,51,-0.0000001,3.4141e+00,0.1539,0
1,52,-0.0243591,3.4578e+00,0.2339,0
1,53,0.0243592,3.4578e+00,0.2339,0
1,54,-0.0000002,3.5571e+00,0.4190,0
1,55,0.0000001,3.5862e+00,0.2919,0
1,56,-0.0353343,3.6336e+00,0.1846,0
1,57,0.0353340,3.6336e+00,0.1846,0
1,58,0.0000002,3.6365e+00,0.3229,0
1,59,0.0000001,3.6838e+00,0.2635,0
1,60,0.0000001,3.7663e+00,0.4699,0
1,61,-0.0422420,3.7765e+00,0.1152,0
1,62,0.0422428,3.7765e+00,0.1152,0
1,63,-0.0000001,3.8040e+00,0.3827,0
1,64,0.0000003,3.8550e+00,0.3593,0
1,65,0.0000001,3.9209e+00,0.2063,0
1,66,-0.0163637,3.9418e+00,0.1358,0
1,67,0.0163649,3.9418e+00,0.1358,0
1,68,0.0000001,3.9633e+00,0.0558,0
1,69,0.0000002,4.0277e+00,0.1733,0
1,70,-0.0214430,4.1059e+00,0.2105,0
1,71,0.0214441,4.1059e+00,0.2105,0
1,72,0.0000001,4.1240e+00,0.2617,0
1,73,-0.0000001,4.1323e+00,0.3850,0
1,74,0.0151201,4.1907e+00,0.2738,0
